node_id,region_id,cpu_capacity,ram_capacity_gb,pue,is_available
node_us_east_1,region_us_east,16,32,1.2,1
node_us_east_2,region_us_east,32,64,1.15,1
node_us_east_3,region_us_east,64,128,1.25,1
node_us_east_4,region_us_east,64,128,1.3,1
node_us_east_5,region_us_east,96,256,1.4,1
node_eu_west_1,region_eu_west,32,64,1.1,1
node_eu_west_2,region_eu_west,32,64,1.1,1
node_eu_west_3,region_eu_west,64,128,1.15,1
node_eu_west_4,region_eu_west,64,128,1.2,1
node_eu_west_5,region_eu_west,96,256,1.2,1
node_asia_pac_1,region_asia_pac,16,32,1.3,1
node_asia_pac_2,region_asia_pac,32,64,1.35,1
node_asia_pac_3,region_asia_pac,32,64,1.4,1
node_asia_pac_4,region_asia_pac,64,128,1.45,1
node_asia_pac_5,region_asia_pac,96,256,1.5,1
node_us_west_1,region_us_west,16,32,1.1,1
node_us_west_2,region_us_west,32,64,1.1,1
node_us_west_3,region_us_west,64,128,1.15,1
node_us_west_4,region_us_west,96,256,1.15,1
node_us_west_5,region_us_west,96,256,1.2,1
